question,answer
Precaution for Drug Reaction,stop irritation consult nearest hospital stop taking drug follow up
Precaution for Malaria,Consult nearest hospital avoid oily food avoid non veg food keep mosquitos out
Precaution for Allergy,apply calamine cover area with bandage  use ice to compress itching
Precaution for Hypothyroidism,reduce stress exercise eat healthy get proper sleep
Precaution for Psoriasis,wash hands with warm soapy water stop bleeding using pressure consult doctor salt baths
Precaution for GERD,avoid fatty spicy food avoid lying down after eating maintain healthy weight exercise
Precaution for Chronic cholestasis,cold baths anti itch medicine consult doctor eat healthy
Precaution for hepatitis A,Consult nearest hospital wash hands through avoid fatty spicy food medication
Precaution for Osteoarthristis,acetaminophen consult nearest hospital follow up salt baths
Precaution for   vertigo   Paroymsal  Positional Vertigo,lie down avoid sudden change in body avoid abrupt head movment relax
Precaution for Hypoglycemia,lie down on side check in pulse drink sugary drinks consult doctor
Precaution for Acne,bath twice avoid fatty spicy food drink plenty of water avoid too many products
Precaution for Diabetes ,have balanced diet exercise consult doctor follow up
Precaution for Impetigo,soak affected area in warm water use antibiotics remove scabs with wet compressed cloth consult doctor
Precaution for Hypertension ,meditation salt baths reduce stress get proper sleep
Precaution for Peptic ulcer diseae,avoid fatty spicy food consume probiotic food eliminate milk limit alcohol
Precaution for Dimorphic hemmorhoids  piles  ,avoid fatty spicy food consume witch hazel warm bath with epsom salt consume alovera juice
Precaution for Common Cold,drink vitamin c rich drinks take vapour avoid cold food keep fever in check
Precaution for Chicken pox,use neem in bathing  consume neem leaves take vaccine avoid public places
Precaution for Cervical spondylosis,use heating pad or cold pack exercise take otc pain reliver consult doctor
Precaution for Hyperthyroidism,eat healthy massage use lemon balm take radioactive iodine treatment
Precaution for Urinary tract infection,drink plenty of water increase vitamin c intake drink cranberry juice take probiotics
Precaution for Varicose veins,lie down flat and raise the leg high use oinments use vein compression dont stand still for long
Precaution for AIDS,avoid open cuts wear ppe if possible consult doctor follow up
Precaution for Paralysis   brain hemorrhage  ,massage eat healthy exercise consult doctor
Precaution for Typhoid,eat high calorie vegitables antiboitic therapy consult doctor medication
Precaution for Hepatitis B,consult nearest hospital vaccination eat healthy medication
Precaution for Fungal infection,bath twice use detol or neem in bathing water keep infected area dry use clean cloths
Precaution for Hepatitis C,Consult nearest hospital vaccination eat healthy medication
Precaution for Migraine,meditation reduce stress use poloroid glasses in sun consult doctor
Precaution for Bronchial Asthma,switch to loose cloothing take deep breaths get away from trigger seek help
Precaution for Alcoholic hepatitis,stop alcohol consumption consult doctor medication follow up
Precaution for Jaundice,drink plenty of water consume milk thistle eat fruits and high fiberous food medication
Precaution for Hepatitis E,stop alcohol consumption rest consult doctor medication
Precaution for Dengue,drink papaya leaf juice avoid fatty spicy food keep mosquitos away keep hydrated
Precaution for Hepatitis D,consult doctor medication eat healthy follow up
Precaution for Heart attack,call ambulance chew or swallow asprin keep calm 
Precaution for Pneumonia,consult doctor medication rest follow up
Precaution for Arthritis,exercise use hot and cold therapy try acupuncture massage
Precaution for Gastroenteritis,stop eating solid food for while try taking small sips of water rest ease back into eating
Precaution for Tuberculosis,cover mouth consult doctor medication rest
 What is  Drug Reaction,An adverse drug reaction   ADR   is an injury caused by taking medication  ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs 
 What is  Malaria,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion  Falciparum malaria is the most deadly type 
 What is  Allergy,An allergy is an immune system response to a foreign substance that's not typically harmful to your body They can include certain foods  pollen  or pet dander  Your immune system's job is to keep you healthy by fighting harmful pathogens 
 What is  Hypothyroidism,Hypothyroidism  also called underactive thyroid or low thyroid  is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone 
 What is  Psoriasis,Psoriasis is a common skin disorder that forms thick  red  bumpy patches covered with silvery scales  They can pop up anywhere  but most appear on the scalp  elbows  knees  and lower back  Psoriasis can't be passed from person to person  It does sometimes happen in members of the same family 
 What is  GERD,Gastroesophageal reflux disease  or GERD  is a digestive disorder that affects the lower esophageal sphincter   LES    the ring of muscle between the esophagus and stomach  Many people  including pregnant women  suffer from heartburn or acid indigestion caused by GERD 
 What is  Chronic cholestasis,Chronic cholestatic diseases  whether occurring in infancy  childhood or adulthood  are characterized by defective bile acid transport from the liver to the intestine  which is caused by primary damage to the biliary epithelium in most cases
 What is  hepatitis A,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus  The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function 
 What is  Osteoarthristis,Osteoarthritis is the most common form of arthritis  affecting millions of people worldwide  It occurs when the protective cartilage that cushions the ends of your bones wears down over time 
 What is    vertigo   Paroymsal  Positional Vertigo,Benign paroxysmal positional vertigo   BPPV   is one of the most common causes of vertigo     the sudden sensation that you're spinning or that the inside of your head is spinning  Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness 
 What is  Hypoglycemia, Hypoglycemia is a condition in which your blood sugar   glucose   level is lower than normal  Glucose is your body's main energy source  Hypoglycemia is often related to diabetes treatment  But other drugs and a variety of conditions     many rare     can cause low blood sugar in people who don't have diabetes 
